Date,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx,Hospitalizations - Unknown Race/Ethnicity
09/13/2020,123,3,28,13,37,30,19,12,9,3,0,0,61,62,0,37,2,14,39,6,25,0,0,0,0,0,0,1,2,0,2,1,0,1,0,2,0,0,0,2,5,3,1,6,7,2,2,0,14,14,0,11,0,4,12,1,0
09/17/2020,393,0,28,38,123,89,53,40,30,11,9,0,190,202,1,134,13,49,122,12,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,6,6,1,5,0,12,16,0,8,1,7,10,1,1
03/01/2020,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,2,0,0
07/02/2020,256,6,25,25,80,44,39,28,22,10,8,0,144,112,0,79,8,60,50,6,53,0,0,0,0,1,1,1,3,0,3,3,0,3,0,2,1,0,0,1,5,4,4,2,4,1,4,0,12,13,0,6,0,8,6,3,2
08/21/2020,431,5,21,60,139,89,46,54,29,11,3,0,243,186,2,221,16,55,82,16,41,0,0,0,1,1,1,1,1,0,3,2,0,4,0,0,1,0,0,1,0,1,3,6,3,3,4,0,11,10,0,11,0,6,2,2,0
10/11/2020,298,4,34,22,92,59,43,36,30,9,7,0,125,172,1,83,7,48,100,12,48,0,0,0,0,1,1,0,2,0,0,4,0,2,0,1,1,0,0,0,2,3,7,4,6,6,6,0,16,18,0,9,1,9,9,1,5
07/09/2020,288,7,29,27,93,59,40,34,23,7,5,0,135,152,1,83,4,87,62,9,43,0,0,0,0,1,2,4,0,0,4,3,0,3,0,2,2,0,0,0,4,3,2,10,5,3,2,0,13,16,0,7,2,15,4,0,1
03/22/2020,168,2,73,6,23,27,31,37,24,14,6,0,75,93,0,22,6,83,50,4,3,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0,1,0,0,6,8,13,14,13,14,5,0,37,35,1,12,4,47,6,3,1
07/24/2020,347,3,26,38,104,76,47,39,21,11,11,0,197,148,2,127,12,75,66,12,55,0,0,1,0,1,1,0,0,0,0,3,0,3,0,0,0,0,0,0,6,0,6,3,4,2,5,0,13,13,0,8,1,13,4,0,0
01/13/2021,1118,17,72,146,277,226,147,143,97,48,34,0,554,553,11,318,41,215,237,56,251,0,0,0,0,0,7,2,8,0,7,10,0,4,2,8,2,1,0,2,5,5,10,10,13,15,12,0,36,36,0,15,2,32,15,4,4
04/28/2020,1323,56,179,68,246,232,253,248,156,68,52,0,619,674,30,578,16,243,110,84,292,0,0,0,3,5,9,10,29,0,23,33,0,13,5,26,12,0,0,2,10,18,22,42,28,30,27,0,73,106,0,64,6,64,30,15,0
01/10/2021,503,17,69,63,123,94,79,65,41,23,15,0,263,235,5,112,19,81,146,30,115,0,0,1,0,1,2,6,7,0,6,11,0,5,1,3,7,0,1,2,8,3,12,6,17,10,11,0,38,31,0,21,3,26,12,3,4
02/07/2021,212,8,45,23,48,46,30,31,14,13,7,0,111,99,2,55,8,37,59,15,38,0,0,0,0,1,1,4,2,0,3,5,0,1,1,4,2,0,0,1,6,5,3,8,7,8,7,0,23,22,0,8,1,16,12,1,7
03/16/2020,78,1,17,1,14,21,18,12,7,4,1,0,37,41,0,8,6,26,31,0,7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,7,3,2,2,1,0,4,13,0,2,0,11,4,0,0
03/20/2021,271,6,29,31,87,63,35,26,19,4,6,0,134,137,0,58,13,74,71,15,40,0,0,0,0,1,2,1,2,0,3,3,0,1,0,2,2,0,1,1,6,3,1,9,5,1,3,0,16,13,0,7,1,12,6,1,2
10/22/2020,1307,4,71,146,333,307,214,136,92,53,26,0,679,621,7,490,22,177,289,52,277,0,0,1,1,0,0,2,0,0,2,2,0,1,0,1,2,0,0,0,7,6,9,15,8,10,16,0,46,25,0,27,1,21,13,7,2
07/12/2020,97,4,17,7,33,15,19,11,3,7,2,0,52,45,0,27,4,25,19,4,18,0,0,0,0,0,2,0,2,0,2,2,0,0,0,1,3,0,0,1,3,0,2,2,2,6,1,0,7,10,0,5,2,8,1,0,1
06/04/2020,319,15,34,27,92,63,54,40,25,10,8,0,160,156,3,145,5,64,23,9,73,0,0,2,1,0,6,4,2,0,6,9,0,6,1,8,0,0,0,0,7,1,6,5,10,3,2,0,20,14,0,12,1,11,7,1,2
